"","Company","Position"
"1","Badi","Data Scientist"
"2","Oracle","consultor cx"
"3","Ualá","Analista BI"
"4","Accenture","Business Intelligence Analyst"
"5","Wenance","Data Scientist"
"6","Meridiano Norte","Analista de Créditos Senior"
"7","Círculo de Crédito","Consultor de Modelos Senior"
"8","SparkDigital","Senior Android Software Engineer"
"9","Ualá","Analista de validación"
"10","Banesco Banco Universal","Especialista de Modelos de Riesgo"
"11","SAP","Data Scientist Consultant | Machine Learning Engineer"
"12","Oracle","Consultor de servicios financieros"
"13","Bizmetriks","Junior Data Scientist "
"14","AG","Consultor independiente"
"15","Ualá","Talent Acquisition Specialist"
"16","Deloitte","analista de precios de transferencia"
"17","Ualá","Data Integration Lead"
"18","Amazon Web Services (AWS)","Solutions Architect"
"19","Grupo Randon ","Consultor empresarial"
"20","Hospital Italiano de Buenos Aires","Machine Learning Engineer (Information Retrieval & Natural Language Processing)"
"21","Mercado Libre","Supervisor de Prevención de Fraude"
"22","Ualá","Talent Acquisition Specialist"
"23","Grafica Impress","Technical Support Specialist"
"24","Despegar","Data Scientist"
"25","Ualá","Jefe de administración"
"26","Estudio Singerman y Makon","Analista Económico"
"27","Dirección Provincial de Estadística - Ministerio de Hacienda y Finanzas de la Pcia. de Buenos Aires","Analista"
"28","",""
"29","Universidad Nacional de La Plata","Trabajo de campo"
"30","Self-employed","Consultant: Marketing, Sales, Teams"
"31","PwC Argentina","Data Analyst - Actuarial Risk"
"32","Banco de la Provincia de Buenos Aires","Financial & Economic Analyst"
"33","Banco Galicia","Analista de contenidos"
"34","Ualá","Talent Acquisition Specialist"
"35","Prisma","Lead Data Scientist"
"36","",""
"37","Oracle","Consultor Funcional de Oracle ERP Cloud"
"38","YPF","Data Scientist"
"39","Ualá","Data Science & Research"
"40","National Institute of Agricultural Technology","PhD Scholarship"
"41","Ualá","Talent Acquisition Specialist"
"42","Ualá","Financial Systems Manager"
"43","Del Juncal Centro de Rehabilitación de Alta Complejidad","Gestión administrativa"
"44","Ualá","Analista BI"
"45","Ualá","Data Science Analyst"
"46","Ualá","Data Research Analyst"
"47","Mercado Libre","Data Scientist"
"48","Quanam","Consultor Data & Analytics"
"49","BlueDraft","Comercial y Marketing - Smarketing"
"50","Universidad Nacional de La Plata","Posgrados Económicas"
"51","Ualá","Analista BI"
"52","Ualá","Business Analytics Manager"
"53","Oracle","Consultant Middleware"
"54","DBPM Consulting","Independent Business Intelligence Consultant"
"55","Oracle","Netsuite Consulting Practice Manager for Latin America"
"56","Búsquedas IT","Consultora en Recursos Humanos "
"57","Oracle","Consultora"
"58","Facultad de Ciencias Económicas UNLP","Ayudante Alumno ad-honorem"
"59","Oracle","Consulting Staff Principal"
"60","Gobierno de la Provincia de Buenos Aires","Subsecretaría de Coordinacion de la Gestion "
"61","Expertas en Dinero","Career & Money Mindset Coach"
"62","invertirOnline.com","Representante del servicio de atención al cliente"
"63","CredixSA","Analista de datos"
"64","Universidad del CEMA","Admisiones y Desarrollo Institucional"
"65","Baufest","Data Practice Head - Americas"
"66","Accenture","Analista de marketing y ventas en Accenture"
"67","Witbor","Consultor Funcional de Oracle NetSuite"
"68","Oracle","Analista Oracle Netsuite"
"69","Oracle","Consultant Oracle Netsuite"
"70","Oracle","Consultor funcional"
"71","Arqlite","CFO"
"72","Accenture","Data Specialist"
"73","Centro de e-Learning UTN BA","Profesor"
"74","Observatorio de Economia Social y Solidaria UNQui","Economista"
"75","Tecnosoftware","Consultor Netsuite en Oracle Argentina"
"76","INDEC Argentina","Analista Técnico"
"77","OCP Tech ","Chief Information Officer"
"78","Cona Consultores","Analista en control de contratistas"
"79","Projectoneto","Talentum ® Directora Escuela de Coaching del Potencial Humano C+T"
"80","IPIT","Director"
"81","Naumann Finanzas","Asesor Financiero Certificado (AFC) por el Instituto Argentino de Ejecutivos de Finanzas (IAEF)"
"82","Focus Investment Management","Asesor Financiero Bursátil |  www.focusim.biz"
"83","",""
"84","Oracle","Consultor EPM"
"85","Instituto Argentino de Ejecutivos de Finanzas (IAEF)","Certificaciones Financieras Internacionales"
"86","Oracle Argentina","LAD Consulting Knowledge & Development Manager"
"87","Banco de la Provincia de Buenos Aires","Data Scientist en Customer Experience"
"88","The World Bank","Senior Economist"
"89","Universidad Nacional de La Plata","Profesor Adjunto Finanzas Públicas I"
"90","EDEMSA ","Supervisor de operaciones"
"91","Oracle","EPM Principal consultant"
"92","SAS","Head of Data Science"
"93","Sanofi","Ethics & Business Integrity Trainee"
"94","Editorial Perfil","Periodista"
"95","www.lhconsultingroup.com"," LHCONSULTONGROUP"
"96","Enersol Ingeniería - Energías Renovables","Socio Gerente"
"97","Oracle","Oracle Gerente de Proyecto | Líder de Implementación | Consultor Sr Oracle Ebs y  Cloud"
"98","KPMG Argentina","Head of People & Change | Digital & Agile Transformation | Advisory | Consulting"
"99","UTN FRGP","Professor docente"
"100","CenturyLink","Business Intelligence System Analyst"
"101","Oracle NetSuite","Consultora"
"102","BNP Paribas Cardif","Data Scientist"
"103","Dentsu Aegis Network","Market Financial Controller"
"104","Oracle","ERP Financial Functional Consultant"
"105","invertirOnline.com","Ejecutivo Comercial"
"106","Bayer Crop Science","Conosur Soybean IT Lead - Soybean (Soja)"
"107","EANT","Instructor en Curso de Data Analytics y Business Intelligence"
"108","EANT - Escuela Argentina de Nuevas Tecnologías","Founder"
"109","DEFINIT - Depilación Láser","Responsable de Recursos Humanos"
"110","Ualá","Data Science & Research Leader"
